CODIGO,CAT,NOMBRE,MUNICIPIO,DEPARTAMENTO,ELEV,LON,LAT,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
23195180,CO,Esc Agr Cachira,Cachira,Norte de Santander,1882,-73.05,7.74,6.89,6.27,5.05,3.85,3.57,3.93,4.21,4.19,3.70,3.89,4.82,6.33,4.73
16015060,CO,Blonay,Chinacota,Norte de Santander,1235,-72.60,7.58,4.24,3.45,2.58,3.24,3.64,3.99,4.02,4.17,4.05,3.62,3.37,4.14,3.71
16055090,CP,Ins Agr Convencion,Convencion,Norte de Santander,1076,-73.34,8.47,5.46,4.85,4.13,3.83,4.84,6.11,6.91,6.72,5.45,5.24,5.02,4.43,5.25
16015010,SP,Apto Camilo Daza,Cucuta,Norte de Santander,250,-72.51,7.93,6.46,5.99,4.93,4.84,5.83,6.03,6.56,7.03,6.66,6.29,6.27,6.31,6.10
16025010,CP,Carmen de Tonchala,Cucuta,Norte de Santander,285,-72.57,7.85,4.67,4.46,3.60,3.50,4.55,4.84,5.56,6.10,5.79,5.08,4.62,4.28,4.75
16025040,CP,Cinera-Villa Olga,Cucuta,Norte de Santander,100,-72.47,8.17,5.09,4.71,3.61,3.55,5.35,5.83,6.42,6.85,6.06,5.73,5.16,4.23,5.22
16015040,CO,Sta Isabel,Cucuta,Norte de Santander,90,-72.43,8.23,4.99,4.88,4.21,4.27,5.49,5.91,6.62,6.88,6.48,5.77,5.16,4.31,5.41
16025020,CO,Risaralda,El Zulia,Norte de Santander,90,-72.53,8.23,4.98,4.77,4.66,4.07,5.39,5.38,6.46,6.44,6.21,5.33,4.83,4.43,5.25
16015090,CP,Tama Parque Nal,Herran,Norte de Santander,2500,-72.44,7.42,4.70,4.05,3.79,2.66,2.33,2.42,2.86,3.03,3.00,2.89,3.25,3.40,3.20
16055060,CO,Playa La,La Playa,Norte de Santander,1500,-73.24,8.22,5.96,5.63,4.77,4.13,4.49,5.77,6.63,6.24,4.84,4.61,4.63,5.15,5.24
16055010,CP,Apto Aguas Claras,Ocana,Norte de Santander,1435,-73.36,8.32,6.95,6.17,4.95,4.43,4.67,5.80,6.53,5.93,5.12,4.83,5.10,6.07,5.55
16055100,CO,Univ Fco P Santand,Ocana,Norte de Santander,1150,-73.32,8.24,5.81,5.32,4.04,3.56,4.10,4.97,5.80,5.30,4.22,4.25,3.97,4.73,4.67
16015020,AM,Iser Pamplona,Pamplona,Norte de Santander,2340,-72.65,7.37,5.20,4.64,3.78,3.26,3.50,3.71,4.11,4.50,4.46,3.98,4.05,4.62,4.15
16025060,CO,Francisco Romero,Salazar,Norte de Santander,1000,-72.80,7.77,3.56,3.06,2.75,2.85,3.90,4.45,5.11,5.05,4.84,3.78,3.55,3.67,3.88
16025030,CP,Salazar,Salazar,Norte de Santander,860,-72.83,7.77,4.84,4.06,3.27,3.23,4.17,4.85,5.31,5.94,5.54,5.03,4.63,4.50,4.62
37015010,CO,Silos,Silos,Norte de Santander,2765,-72.75,7.21,5.18,4.68,3.78,2.51,2.27,2.20,2.94,3.36,3.40,3.02,3.39,4.30,3.42
16035010,CO,Tibu,Tibu,Norte de Santander,50,-72.73,8.64,5.05,4.83,3.88,3.96,5.12,5.93,6.48,6.79,6.00,5.35,4.82,4.28,5.21
47015040,CO,Michoacan,Colon,Putumayo,2100,-76.88,1.18,3.21,2.68,2.00,1.98,1.72,1.17,1.23,1.67,2.08,2.82,3.26,3.20,2.25
44015040,CO,Mocoa Acueducto,Mocoa,Putumayo,650,-76.65,1.16,3.24,2.98,2.61,2.67,2.45,2.22,2.38,2.95,3.60,3.79,3.60,3.59,3.01
47045010,CO,Pto Leguizamo,Puerto Leguizamo,Putumayo,147,-74.78,0.18,5.29,4.29,3.42,3.21,3.27,3.25,3.54,4.25,4.71,4.79,4.91,4.99,4.16
44115020,AM,Tagua La,Puerto Leguizamo,Putumayo,153,-74.67,-0.06,5.05,4.20,3.22,3.04,2.87,2.87,3.16,4.07,4.45,4.64,4.86,5.21,3.97
47015090,CO,Primavera La,Sibundoy,Putumayo,2067,-76.93,1.17,3.33,2.73,2.21,2.10,2.09,1.78,1.84,2.07,2.45,2.94,3.42,3.58,2.54
